die	the
terminaal	terminal
dakar	dakar
heers	rule
ekwivalent	equivalent
lirieke	lyrics
afsonderlik	separately
lucius	lucius
optog	march
heyns	heyns
wins	wins
düsseldorf	düsseldorf
manlik	save
manlik	masculine
gimnastiek	gymnastics
goede	goede
herstelwerk	repair
perikles	pericles
campbell	campbell
ineenstorting	collapse
ervarings	experiences
fauna	fauna
malmesbury	malmesbury
totius	totius
california	california
haas	rabbit
voorneme	intention
saai	sow
birmingham	birmingham
ann	ann
kopieë	copies
kubieke	cubic
kontras	contrast
soliede	solid
colorado	colorado
uefa	uefa
vlaams	flemish
ontslae	rid
diverse	sundry
diverse	diverse
diverse	miscellaneous
pomp	pump
pomp	pumped
etage	stage
justisie	justice
arp	arapaho
hallo	hi
hallo	hey
hallo	hello
protokol	protocol
harmonie	harmony
positief	positive
agtervoegsel	suffix
demografiese	demographic
abseits	abseits
anker	anchor
waartoe	mechanism
waartoe	negotiations
paraguay	paraguay
athos	athos
valencia	valencia
valencia	valencian
rhône	rhône
mit	mit
anatolië	anatolia
opvoering	performance
kliek	click
fondament	foundation
braille	braille
verduideliking	explanation
tonga	tonga
gill	gill
heraldiek	heraldry
advies	advice
pietersen	pietersen
parallelle	parallel
voorrade	supplies
voorrade	supply
tambo	tambo
oes	harvest
onderstaande	below
derby	derby
waai	wave
fantasie	fantasy
rom	romany
ret	ret
koshuis	sorority
koshuis	fraternity
koshuis	hostel
kontinente	continents
agterste	rear
studio	studio
reptiele	reptiles
barbara	barbara
barberton	barberton
minuut	minute
landing	lz
regop	upright
palmyra	palmyra
môre	tomorrow
môre	morning
keel	throat
nui	nui
isabella	isabella
voorraad	supply
krater	crater
ferreira	ferreira
independent	independent
loods	hangar
resolusie	resolution
nyl	nile
thebe	thebes
khoi	khoi
alberton	alberton
skatting	estimate
skatting	estimation
skatting	est
horing	horn
manageryears	manageryears
ibn	ibn
cruden	cruden
helderder	brighter
phoenix	phoenix
lionel	lionel
preller	preller
maklikste	easiest
bevryding	liberation
begroting	budget
herschel	herschel
analitiese	analytical
analitiese	analytic
htm	htm
griekwas	griquas
rotterdam	rotterdam
bekker	bekker
koster	koster
oosthuizen	oosthuizen
mowgli	mowgli
jammer	sorry
tsjeggiese	czech
gotenburg	gothenburg
sergei	sergey
sergei	sergei
hahn	hahn
sessie	session
documenta	documenta
vurige	fiery
voorafgaande	preceding
strukturele	structural
aanvraag	demand
dubbelsinnig	disambiguation
ewewig	equilibrium
informele	informal
informele	casual
norman	norman
etiek	ethics
ruth	ruth
skyn	shine
skyn	sine
huishoudings	households
tswana	tswana
steven	steven
carcassonne	carcassonne
swanger	pregnant
komponiste	composers
ruimtes	spaces
ruimtes	spots
eden	eden
donkerder	darker
multi	multi
vancouver	vancouver
née	née
variasie	variation
etienne	etienne
dankbaarheid	gratitude
bote	boats
engine	engine
doc	doc
verkeerdelik	incorrectly
asteroïde	asteroid
cats	cats
sluiting	locking
albanie	albanie
herken	recognize
herken	recognised
herken	recognise
herken	recognized
meson	meson
verbode	forbidden
kwik	mercury
cruz	cruz
gedetailleerde	detailed
uitgestal	featured
rotasie	rotation
marlene	marlene
dop	shell
meta	meta
magdalena	magdalene
vulkane	volcanoes
opgehef	revoked
pokal	pokal
stanford	stanford
lokale	local
markplein	marketplace
markplein	market
gedeeltelike	partial
gemeng	mixed
maarten	maarten
volkome	wholeheartedly
aangewese	designated
scholtz	scholtz
vitamien	vitamin
gedreig	threatened
chinese	chinese
melville	melville
barnes	barnes
seël	seal
skelet	skeleton
absa	absa
beskermde	shielded
cia	cia
gebak	baking
ingrid	lettie
ingrid	ingrid
oekraïens	ukrainian
moore	moore
gnu	gnu
geantwoord	replied
geantwoord	responded
wolfgang	wolfgang
nota	note
australopithecus	australopithecus
gerugte	rumors
gerugte	rumours
roem	roem
aankom	arrive
besoedeling	pollution
bewerings	allegations
bewerings	contentions
groottes	sizes
jun	jun
erns	earnest
verlang	sought
verlang	needs
verlang	demanding
baard	beard
wijk	wijk
vreugde	joy
sandbox	sandbox
annie	annie
ontevrede	dissatisfied
carel	carel
negatief	negative
beïndruk	impressed
maltese	maltese
akkuraat	accurate
akkuraat	accurately
pianis	pianist
hills	hills
livingstone	livingstone
stort	shower
geologie	geology
gehoop	hoping
gehoop	hoped
rapporteer	report
rapporteer	flag
skadu	shading
skadu	shadow
skadu	shade
mississippi	mississippi
heropbou	reconstruction
iewers	somewhere
pikkewyne	penguins
atol	atoll
prinse	prince
omskryf	defined
eng	eng
giteau	giteau
shepstone	shepstone
ikoon	icon
jaag	chases
organisme	organism
konstitusionele	constitutional
europees	european
oopgemaak	opened
tou	rope
tou	queue
tou	tou
armes	poor
kar	car
warren	warren
light	lite
verspreide	distributed
weeshuis	orphanage
hakies	brackets
edinburgh	edinburgh
ekumeniese	ecumenical
unisa	unisa
panama	panama
joeri	yuri
amateur	amateur
sopraan	soprano
geldenhuys	geldenhuys
natalensis	natalensis
ivan	ivan
statistiese	statistical
ontken	renounce
outobiografie	autobiography
berigte	stories
herleef	relive
ralph	ralph
besproeiing	irrigation
sst	sst
overberg	overberg
oogpunt	viewpoint
stuttgart	stuttgart
maurice	maurice
halfpad	seated
wagner	wagner
selfde	same
konsentreer	concentrate
voortplanting	reproduction
aangehaal	quoted
vroulik	feminine
vroulik	females
vroulik	female
walsh	walsh
katalonië	catalonia
oct	oct
iata	iata
ontleding	breakdown
pilare	pillars
rynland	rhineland
fox	fox
werkloosheid	unemployment
abstrakte	abstract
beantwoord	answered
oseanië	oceania
oord	resort
geverf	painted
vermoëns	probing
vermoëns	abilities
cassini	cassini
jameson	jameson
afgelewer	delivered
région	région
misbruik	abuse
sentra	sentra
horde	horde
illustrasies	illustrations
capita	capita
semmelweis	semmelweis
storms	storms
advertensies	adds
advertensies	ads
advertensies	advertisements
advertensies	advertising
antonius	antonius
agulhas	agulhas
rudy	rudy
betekenisvolle	meaningful
fasiliteite	facilities
napoléon	napoléon
irene	irene
lealiifano	lealiifano
jagluiperd	cheetah
bowker	bowker
transclusions	transclusions
allan	allan
ram	ram
ram	aries
allerlei	miscellaneous
québec	québec
reuk	smell
wiel	wheel
omgewings	environments
oordra	trackers
oordra	tracker
oordra	relay
oordra	replace
vakke	subjects
elst	elst
waarheen	where
engelbrecht	engelbrecht
sag	soft
wysheid	wisdom
quade	quade
newels	nebulae
definisies	definitions
dubbel	double
vaal	fail
vaal	vaal
vaal	fails
vaal	failing
swakker	weaker
opbrengs	yield
foley	foley
maas	maas
callixtus	callixtus
kommer	subscribes
bywoon	attend
hampshire	hampshire
dunedin	dunedin
spoorweg	railroad
spoorweg	railway
moeilikheid	difficulty
bosch	bosch
pommere	pomerania
oorlewing	survival
cronjé	cronje
fasade	facade
slagting	wounded
slagting	massacre
slagting	killings
mozart	mozart
gewissel	switched
kuruman	kuruman
kong	kong
mid	mid
informasie	information
stander	stander
geïntegreerde	integrated
marco	marco
reken	calculation
vennootskap	partnership
ovaal	oval
dos	dos
