les	die
connecticut	connecticut
afficher	anzeigen
dominante	dominante
dominante	beherrschenden
quels	welche
hercule	herkules
forcé	gezwungen
forcé	erzwungen
solde	saldo
récolte	ernte
gustav	gustav
attaqué	angegriffen
oregon	oregon
cape	cape
diff	diff
infos	infos
monté	montiert
artificielle	künstliche
then	then
traitements	behandlungen
leslie	leslie
serpents	schlangen
cuir	leder
utah	utah
carnaval	karneval
essayiste	essayist
cacher	ausblenden
come	come
neuilly	neuilly
kentucky	kentucky
ned	ned
probabilité	wahrscheinlichkeit
académique	akademischen
académique	akademische
roll	roll
accusation	anklage
châssis	fahrgestell
châssis	chassis
responsabilités	verantwortlichkeiten
responsabilités	zuständigkeiten
lyrique	lyrik
laser	laser
composant	komponente
sérieusement	ernsthaft
sauvetage	rettung
nina	nina
convoi	konvoi
atterrissage	landung
blaise	blaise
disputer	streiten
encre	tinte
hills	hills
remplir	ausfüllen
invitation	einladung
souffre	leidet
cercles	kreise
arche	arche
collaborateurs	mitarbeiter
viaduc	viadukt
gravures	gravuren
gratuit	kostenlos
