der	le
tänzerin	danseuse
anklage	accusation
weiden	pâturages
lettland	lettonie
sammler	collectionneurs
regisseurin	réalisatrice
apollo	apollo
sudan	soudan
magdeburger	magdeburger
bewerten	noter
bewerten	évaluer
mut	courage
arms	arms
achsen	axes
achsen	essieux
crew	crew
enterprise	enterprise
lüttich	liège
algorithmus	algorithme
casa	casa
uno	uno
uno	onu
étienne	étienne
cars	cars
watt	watt
reis	riz
bär	ours
slam	slam
gert	gert
ecuador	équateur
potential	potentiel
ilse	ilse
come	come
rosenheim	rosenheim
trinken	boire
support	support
nachhaltig	durable
nachhaltig	durables
potter	potter
pazifik	pacifique
duell	duel
elektrotechnik	électrotechnique
verschwindet	disparaît
zahlung	paiement
third	third
nathan	nathan
ausländer	étrangers
spitz	spitz
guatemala	guatemala
portland	portland
spam	spam
annette	annette
theresia	theresia
rico	rico
willem	willem
leonardo	leonardo
flash	flash
fonds	fonds
havel	havel
verbringen	passer
#default	#default
seven	seven
komm	viens
risiken	risques
wettkampf	compétition
herzöge	ducs
konzeption	conception
beleidigung	insulte
simone	simone
take	take
datierung	datation
inter	inter
fühlen	sentir
bratislava	bratislava
potok	potok
ming	ming
grace	grace
elektronen	électrons
klassisch	classique
mosel	moselle
vereinbart	convenu
stuhl	chaise
zustände	états
beweise	preuves
neuhaus	neuhaus
republikaner	républicain
republikaner	républicains
nachwuchs	progéniture
laufzeit	durée
mar	mar
glaub	crois
minderheiten	minorités
einschränkungen	restrictions
some	some
biologische	biologique
nützlich	utile
wiedergewählt	réélu
druckerei	imprimerie
lambert	lambert
lima	lima
dog	dog
geschossen	tiré
buchhandlung	librairie
modernisierung	modernisation
angeklagt	inculpé
angeklagt	accusé
vermont	vermont
schädel	crâne
toyota	toyota
schuster	cordonnier
make	make
nepomuk	nepomuk
dec	dec
beschreibungen	descriptions
mbh	mbh
thesen	thèses
str	str
kate	kate
hanna	hanna
gregory	gregory
return	return
balken	poutre
cia	cia
taufe	baptême
kompetenz	compétence
kay	kay
chur	coire
schmitz	schmitz
socke	chaussette
pittsburgh	pittsburgh
prosa	prose
bosch	bosch
romantik	romantisme
fiktiven	fictif
signale	signaux
irish	irish
mechanik	mécanique
schenk	schenk
karosserie	carrosserie
sigmaringen	sigmaringen
unterbrechung	interruption
ewig	éternel
geladen	chargé
here	here
manuskript	manuscrit
fasst	résume
landgraf	landgraf
pölten	pölten
lehnt	rejette
ausbreitung	propagation
montevideo	montevideo
neuss	neuss
beta	beta
beta	bêta
