மற்றும்	and
டிக்கா	tikka
மினாட்	minot
தமிழினம்	ox
லூன்	loon
ரோஸ்லின்	roselyn
சிகந்தர்	sikandar
டீஃபோ	defoe
டென்னிங்	denning
பகாட்	pahat
நேஹா	neha
சலூன்	saloon
சலூன்	salon
ரவீனா	raveena
குவெம்பு	kuvempu
மரிசா	marisa
ஏக்கநாயக்க	ekanayake
டிர்பிட்சு	tirpitz
இந்ந	inna
பால்ரூம்	ballroom
ஹிக்சன்	higson
#ஐ	#i
ஐரே	airey
டிர்க்	dirk
தமனியழற்சி	arteritis
போன்கள்	phones
அமானி	amani
கியாகோமோ	giacomo
ரப்பி	rabbi
பண்டோரா	pandora
மேஸ்ட்ரோ	maestro
அபியா	abia
டெனற்	dennett
சுச்சி	shuji
பிலி	pili
சத்தர்	sadder
லம்பா	lamba
எபெக்ட்	effect
போடுங்கள்	put
கூப்பன்	coupon
நந்தியால்	nandyal
மசூம்தார்	majumdar
ஜனக்	janak
தாலாட்டும்	relatable
அமுண்ட்சென்	amundsen
நெஸ்டர்	nestor
ஹேக்கர்	hacker
மறைக்கவும்	hide
காமத்தின்	kamath
உரோசலிண்டு	rosalind
வாயழற்சி	stomatitis
முடக்கப்பட்ட	disabled
ஹோலிஸ்	hollis
மறைக்கப்பட்டது	hidden
வியாஸ்	vyas
அப்ரிடி	afridi
புதுப்பிப்புகள்	updates
சித்ரால்	chitral
திட்டுதல்	abusing
என,	as,
சாலையோரம்	roadside
மோலடோவ்	molotov
உலரும்	drying
தாதாசாகேப்	dadasaheb
உற்சாகத்தை	enthusiasm
மேசி	macy
பர்கெசு	burgess
தெளியவியல்	serology
சன்னா	chana
பின்னடைவாக	drawback
கடத்தலுக்கு	abduction
கைதுகள்	arrests
இதா	ida
சர்குஜா	surguja
மீட்டெடுப்பு	recovery
எதிரணியை	truce
கெரென்சுகி	kerensky
சூமான்	schumann
பூச்செண்டு	bouquet
கேரன்டான்	carentan
பீப்	beep
பீப்	peep
ரிக்ஷா	rickshaw
ஸ்பிரிங்ஃபீல்ட்	springfield
மாலேகான்	malegaon
வியப்பை	bewilderment
மனாகுவா	managua
வாயாடி	talkative
ரெளலட்	rowlatt
நவரோ	navarro
கிம்மல்	kimmel
மௌரீன்	maureen
ராஜகோபாலச்சாரி	rajagopalachari
திரைச்சீலைகள்	curtains
ரெக்கி	reggie
பிராட்போர்ட்	bradford
அதிர்ச்சியூட்டும்	astounding
ரிஸ்வான்	rizwan
பிரகாசமாகவும்	aro
கையளவு	untouched
பொய்கள்	lies
பிச்	bitch
சபீக்	shafiq
புராட்பிரிஜ்	broadbridge
கூம்புச்	pineal
லெர்மன்	lerman
ஹியுன்	hyun
சோகத்தை	sobbing
சோகத்தை	sadness
சோலன்	solan
பொலிஞ்சர்	bollinger
வறுக்கப்பட்ட	toasted
வீழ்ச்சியடைந்தன	plummet
லெவண்ட்	levant
கஜகஸ்தான்	kazakhstan
கொடுத்தோம்	gave
ப்ராம்	prom
சிட்ரின்	citrine
ஏலியன்ஸ்	aliens
சீட்டா	zeta
சாதகமானது	favorable
ஈஸ்ற்மன்	eastman
பாலாசி	bauchi
யோகன்னிசு	iohannis
பயோக்கான்	biocon
ஜ்வாலா	jwala
கைம்பெண்கள்	widows
ஊதாரி	parable
பர்ரா	barra
ராமேஸ்வரத்தில்	rameswaram
ஷட்டர்	shutter
கொத்திப்	perched
மஹேஷ்வர்	maheshwar
வெண்டைக்காய்	okra
கெக்	kek
நாசியழற்சி	rhinitis
பேட்ஸ்மேன்	batsman
பாராட்டப்பட	appreciated
கொலோண்டை	kollontai
கமிங்	cuming
போவி	bowie
வேகத்தோடு	cylinders
ரமீஸ்	rameez
மேம்	mam
வேண்டப்படுகிறது	proposals
கன்னடர்கள்	kannadiga
அவற்றினுள்	greeted
மெர்வ்	merwe
சுயவிவரங்கள்	profiles
நொய்	noy
ஸ்டிக்லிட்சு	stiglitz
ஷான்சி	shaanxi
விடேகர்	whitaker
பப்போவ்	popov
பல்லுயிர்ப்பரவல்	biodiversity
கூட்டாளர்கள்	partners
காஸ்ட்னர்	costner
சுலக்சனா	sulakshana
சிரப்	syrup
இனாயத்	inayat
பேனிஸ்டர்	bannister
சமையற்காரர்	caterer
வேஸ்ட்	west
செல்வச்செழிப்பு	bonanza
ராவத்	rawat
சுழிவளவை	nullity
ஃபேரர்	farrer
அவிரா	avira
முன்னிருப்பு	default
முன்னிருப்பு	defaults
ஹிர்ஸ்ட்	hirst
செர்வுட்	sherwood
சமராசு	samaras
மெலனி	melanie
இனைப்பு	connection
இனைப்பு	bond
வூரி	woori
காட்கில்	gadgil
ஒரோமோ	oromo
லோலா	lola
என்பிஏ	npa
அக்கிரஹாரம்	agraharam
மொட்டுக்கள்	blooms
ஃப்ராங்க்ளின்	franklin
அலோக்	alok
வாசர்	vassar
நிலவமைப்பு	landform
லாக்கர்	locker
கிலென்ஹால்	gyllenhaal
மாறாதது	unchanged
பர்போசா	barbosa
அப்பாவிகள்	innocents
கிரீன்பீஸ்	greenpeace
பர்ரோசு	burroughs
கும்ரான்	qumran
மார்கோஸ்	marcos
ஃபெரேரா	ferreira
பார்னெட்	barnett
பிளெரோவியம்	flerovium
அரூப்	arup
பிரவேச	resurgence
கேட்பவர்கள்	listeners
லீற்றர்	litter
தோலுறைவு	frostbite
அகலங்கள்	widths
குட்மேன்	goodman
முடிச்சுகளை	nodes
ஆன்டிகுவா	antigua
வேகன்	wagon
ஜெப்ராய்	geoffroy
ஸ்டெர்ன்ஸ்	stearns
ஈஸ்டன்	easton
சூபிக்	subic
கரியால்	gharial
ஹெலெனா	helena
ஹிடேகி	hideki
லெனோவா	lenovo
கார்ட்டியர்	cartier
புனீத்	puneeth
புனீத்	puneet
ராய்காஞ்ச்	raiganj
கணக்கிடு	estimate
மார்லின்	marlin
நொயெல்	noelle
விவாஹ்	vivah
மெய்க்காப்பாளர்	bodyguard
அமிழ்தல்	immersion
முத்தமிட்டு	kiss
உலாவியும்	increasingly
டோபியாஸ்	tobias
சியென்னா	sienna
ரக்கா	raqqa
பிரேட்டா	biretta
அனுப்	anup
பிரசல்ஸ்	brussels
கில்கிட்	gilgit
ஆல்சொப்	allsopp
ஃபிர்த்	firth
கிரீர்	greer
ஹாலம்	hallam
பிரபஞ்சவியல்	cosmological
தையல்சிட்டு	tailorbird
பதிவிறக்கங்கள்	downloads
உத்யோக்	udyog
சுஷி	sushi
மூழ்கடித்தன	coronel
பேரன்கள்	grandsons
அசுத்தம்	scumbag
நஜிப்	najib
துவக்கங்கள்	initials
டான்சி	dancy
தவிக்க	walked
குட்லக்	goodluck
குவாட்ரில்லியன்	quadrillion
ஹைட்ரா	hydra
லெனினிசம்	leninism
யூரியேசு	urease
ராதாகிருஷ்ண	radhakrishna
டுஷான்பே	dushanbe
இருக்குது	involve
அட்டூழியம்	atrocity
கில்லர்மோ	guillermo
வூடூ	wudu
லிமிட்டடின்	machineries
படுவா	padua
வெளித்தோற்றத்தில்	seemingly
அகாப்பெட்டஸ்	agapetus
பரவளைவுத்	parabolic
வல்ட்டூர்னோ	volturno
பகிர்	share
காதிரைச்சல்	tinnitus
கூன்டர்	günter
ஸ்கூப்	scoop
வடித்திறக்கல்	distillation
க்ளோ	glo
தாயாசுடீ	peccary
அநியாயம்	wrongs
அநியாயம்	unjust
அநியாயம்	wronged
கோஃபி	kofi
சாண்டோஸ்	santos
லைசென்ஸ்	licence
என்றென்றைக்கும்	forever
கண்ணியத்தை	dignity
நவாசா	navassa
சிசிர்	sisir
அவெஞ்சர்ஸ்	avengers
ஆயிரங்கள்	thousands
நினைக்கிறது	thinks
நெப்டியூனியம்	neptunium
சர்லீஃப்	sirleaf
பொசுபோரசு	bosphorus
தீவினர்	islanders
பாக்ரி	bagri
தொம்மாசோ	tommaso
காரெத்	gareth
யாக்கோபுசன்	jakobson
பிரிட்ஜர்	bridger
லோதியன்	lothian
ஐவண்ணக்கிளி	macaw
லூகர்	luger
மினாங்கபாவு	minangkabau
ஓட்டப்போட்டி	hurdles
மென்மி	lepton
பலக்டாஸ்	balagtas
பிணையமாக	bails
நீலிமா	neelima
ஊழியர்களிடம்	bragged
ஊழியர்களிடம்	furnish
ரோஷ்	rosh
}},	}},
கரேனினா	karenina
குசாக்	cusack
பேக்கரி	bakery
ரத்லம்	ratlam
கன்ஹா	kanha
ஹத	hata
சுளுக்கு	sprain
பதிலைப்	answer
ஹேமன்	hayman
அர்சென்	arsène
முர்சி	morsi
சென்குப்தா	sengupta
ழவாகிரி	zawahiri
தேங்கு	whimper
புல்டாக்	bulldog
வோல்வோ	volvo
வெல்ட்	weld
ஹெரான்	heron
மேக்புக்	macbook
நியாயமாக	fair
ஸ்திராஸ்பூர்க்	strasbourg
டாட்ஸ்	dodds
யாப்பா	yapa
ஸ்டேசி	stacey
ஸ்டேசி	stacy
பொடுகு	dandruff
ஜோஹான்சன்	johansson
வீரேந்திர	virendra
ஆச்சரியமாக	surprisingly
ஆச்சரியமாக	surprised
கோவர்	gover
மல்லம்	mallam
தெய்ன்	thein
அராஸ்	arras
வேலையற்ற	unemployed
மலிவுச்	perceptions
துரிதப்படுத்த	expedite
பரிந்துரைக்கவும்	recommend
நூன்	nun
ஓசுனி	hosni
பிளாப்	blob
ப்ராடி	brady
கில்லட்டின்	guillotine
இலன்	eln
ஓமுரா	ōmura
சத்தோசி	satoshi
மூசி	mousse
ராசொய்லினா	rajoelina
வோர்ஸ்	whores
யோசி	think
ஸ்குயர்ஸ்	squires
செல்சியா	chelsea
#சிவப்பு	#red
நாப்	nob
பொறளை	borella
ரோமெல்	rommel
கில்டர்	guilder
ஹாப்சன்	hobson
துரியன்	durian
__	__
சமாரியன்	samaritan
யூர்ட்	yurt
லம்பார்ட்	lombard
கரகா	caraga
உணர்வுபூர்வமாக	emotionally
#தென்	#south
நசுகா	nazca
சொட்ட	lemongrass
சிற்றன்னை	stepmother
உரோமாஞ்சு	romansh
பலமாகக்	roomy
#உன்	#your
சுத்ஸ்டாப்பெல்	schutzstaffel
மேகனா	meghana
மானபங்கம்	unconscious
சைரன்	siren
ஹாரியெட்	harriett
வஹாப்	wahab
கோமாச்சி	komachi
அலாரம்	alarm
ஷர்மான்	sharman
பிரிஸ்டினா	pristina
பிசிஐ	pci
ரொட்டுமா	rotuma
செயலாக்கு	apply
வுல்மர்	woolmer
ட்ரெஸ்	tres
பார்லர்	parlor
பார்லர்	parlour
சுச்	cuc
அதிர்ச்சியடைந்த	astonished
பேயை	bae
ஹிக்	hic
சப்பை	pug
சந்தேகங்களும்	spiritual
உருவாக்குவோர்	developers
பயிற்றுவிப்பாளர்	instructor
டேரில்	daryl
வர்ணனையாளர்கள்	commentators
எதிப்பு	moise
கப்புசின்	capuchin
டிக்ஸ்	dicks
யுஜினி	eugenie
ஊக்கமின்மை	discouragement
பரலோக	heavenly
வாட்டர்கேட்	watergate
பரு	solid
பரு	pimple
கிரகமாக	kinda
தொப்பை	belly
ஹொட்கின்சன்	hodgkinson
லிலியன்	lilian
ஷகீல்	shakeel
கிளாடியா	claudia
பெனோட்	benaud
அழை	call
பிங்கம்	bingham
ஏரின்	arin
மெஷர்	mesure
ஹடூப்	hadoop
அண்ட்சிரனனா	antsiranana
பலாங்கீர்	balangir
மொஹப்பத்	mohabbat
கிங்ஸ்கோட்	kingscote
நெக்	nek
நானாக	myself
கலத்ராவா	calatrava
நீரூர்தி	watercraft
காணக்கூடியது	visible
உறைபொதியாக்கம்	encapsulation
தலத்	talat
மீளுயிர்ப்புச்	cardiopulmonary
ஹாம்ப்டன்	hampton
சாண்டோரோ	santoro
பேட்கேர்ள்	batgirl
மரின்ஸ்கி	mariinsky
டின்டால்	tyndall
நெகிழ்திறன்	resilient
#உலகம்	#world
லென்னி	lenny
பெசிமர்	bessemer
சிங்க்கோ	cinco
ஜாஸ்பர்	jasper
புங்	phùng
ராடியா	radia
பெரேஸ்	perez
தாவல்கள்	tabs
தாவல்கள்	jumps
குவைன்	quwain
ஹஜ்ரத்	hazrat
டொட்	nachos
விருப்பமுடன்	lief
ரொட்டிகள்	breads
வேலண்டைன்	valentine
காரு	garu
ரௌஸ்	raus
தனிப்பட்டதாக	private
கழுவவும்	fot
பவர்புக்	powerbook
பெரல்மான்	perelman
சார்ஜர்	charger
மெட்டாலிக்கா	metallica
பயனாளிகளுக்கு	beneficiaries
தாரக்	tarak
கலீலி	khalili
ஆருஷி	aarushi
மயூரி	mayuri
ருடோல்ப்	rudolf
சாலியரி	salieri
பஃப்	puff
நயாகட்	nayagarh
கீரா	keira
நாவே	mysterium
இரஃப்லேசியா	rafflesia
யாமானாக்கா	yamanaka
பப்பியாமெந்தோ	papiamento
பெர்டி	bertie
பந்தத்தில்	stable
அயேந்தே	allende
கத்தாரி	qatari
கிளாடியேட்டர்	gladiator
தாவூதி	dawoodi
ஸ்பாட்லைட்	spotlight
சயாப்	sayyaf
ஃபெல்டன்	felton
மல்க	malka
கிரெட்ச்மன்	kretschmann
நூலடைவு	bibliography
உதவியாளர்களாக	helpers
வரைகிறது	draws
கன்லிஃப்	cunliffe
கடுங்குளிரியல்	cryogenics
ஹிமேஷ்	himesh
#அன்பு	#love
லவுடோக்கா	lautoka
யுகாவா	yukawa
ஸ்வாதி	swati
சைலேஷ்	shailesh
ஜெர்விஸ்	jervis
ஹ்வா	hwa
படிப்பறிவில்லாத	uneducated
தள்ளுபடிகள்	discounts
கப்பா	cuppa
ஈருருமை	dimorphism
சமோசா	samosa
பாடுங்கள்	sing
சிறீகாகுளம்	srikakulam
சினாவத்ரா	shinawatra
பெட்டுனியா	petunia
ஈகோ	ego
லோஷன்	lotion
ராண்டல்	randall
எசன்	essen
ஆக்டோபஸ்	octopus
உயிர்ப்பித்து	resurrect
பேரமீசியம்	paramecium
ஹொட்சன்	hodson
வெண்டர்	venter
அகநச்சு	endotoxin
பேடர்	bader
காலியிடம்	vacancy
புரோட்டன்	broughton
மூட்	mood
திராயான்	trajan
அப்சல்	afzal
பிரமாண்டம்	grand
ஹிப்பி	hippie
சாஸ்திரங்கள்	servicemen
சூல்ட்சு	schulze
கொண்டாடு	celebrate
ஃபைப்ரோஸிஸ்	fibrosis
குறிஞ்சா	sylvestre
செரிப்	serif
உறைகிறது	freezing
உருளைப்புழு	nematode
ட்ரோவர்	drover
உயிரிவளி	biogas
சிஏ	signing
ஹெம்ஸ்வர்த்	hemsworth
டிஸ்டில்லரி	distillery
பிரதிவாதி	respondents
ஹேரிங்	haring
செரிமானத்தை	digestion
கொர்ரின்	corrin
நடக்கிறார்	walking
குறிப்பிலா	rand
குறிப்பிலா	random
மனப்போக்கை	mindset
நீடிப்பு	extended
ஸ்டோர்ம்	strom
சிபிலிசு	syphilis
கமலி	kamali
ஈவர்செட்	evershed
தவறுதான்	fault
பிடரிக்கோடன்	tuatara
கிளான்சி	clancy
திரிக்கப்பட்ட	contorted
ஈட்ஸ்	eats
யெஸ்ப்பூ	espoo
ஊன்றுகோல்	crutches
அவமரியாதை	disrespectful
அவமரியாதை	disrespect
ஏர்ஃகாட்	earhart
ரோஸ்வெல்	roswell
நவ்தீப்	navdeep
யெகோவா	jehovah
உல்சுடன்கிராஃப்ட்	wollstonecraft
உடல்ரீதியாக	physically
முத்தங்கள்	kisses
பியான்கி	bianchi
கிரிஸ்டன்	kirsten
ஒட்டகச்சிவிங்கி	giraffe
தருவிக்கும்	rendering
பார்ப்பவன்	seer
காமர்லிங்	kamerlingh
பேந்திரே	bendre
தலால்	dalal
பெலிண்டா	belinda
யூனிஸ்	younis
புராட்டஸ்தாந்து	protestant
நெருங்கியதாக	bunches
முள்ளு	annona
கிச்சு	tickle
வேட்பேடு	wordpad
நல்வரவு	welcome
ஃபேபியோ	fabio
பலகம்	panel
கன்ஷி	kanshi
சுனோ	suno
கன்வேயர்	conveyor
புல்டாணா	buldhana
தியெரி	thierry
வூடு	voodoo
எம்மெட்	emmett
கரகரப்பு	soar
மீனிடை	interstellar
வாட்டிய	grilled
சிமெண்ட்ஸ்	cements
ஹோமோசிஸ்டீன்	homocysteine
கைப்பாவைகள்	puppets
வினோதமாக	strangely
சுகா	suga
சுக்விந்தர்	sukhwinder
ஃபிட்ஸ்கெரால்ட்	fitzgerald
ஹார்வுட்	harwood
அதிர்ஷ்ட	fortune
அதிர்ஷ்ட	lucky
பெரிதா	zoom
ராஜ்ஷாஹி	rajshahi
கேந்திராபடா	kendrapara
ஆக்சின்	auxin
கஷ்டமான	tough
லாலிபாப்	lollipop
உலி	uli
விகிதாச்சாரத்தில்	proportions
போசா	bhoja
லாகோஸ்	lagos
#வாழ்க்கை	#life
முன்னோட்டங்கள்	previews
டுரான்ட்	durant
கனசெவ்வகம்	cuboid
சந்தாளி	santali
சௌமித்திர	soumitra
திப்பா	dibba
ஓரினச்சேர்க்கையாளர்கள்	faggots
நட்கர்னி	nadkarni
சைலஸ்	silas
உராய்வுப்	attrition
வாஹித்	wahid
பொய்யன்	liar
கரீம்கஞ்சு	karimganj
பெய்ன்ஸ்	baines
சிக்கரி	chicory
பெலூச்சி	bellucci
தல்மூத்	talmud
அட்கின்சு	adkins
ஒப்பிடல்	benchmarking
ஸ்டேக்	stag
ஓக்ஸ்	oaks
சமாளித்தல்	droppings
மமதா	mamata
சிகான்	shehan
ஸ்கின்னர்	skinner
டியூரோன்	duron
கவ்லி	cowley
தெதைஸ்	tethys
கடத்தினார்	kidnap
கூப்பாடு	hoot
ஐமேக்ஸ்	imax
எனேரசு	henares
என்பது,	is,
கிச்சடி	khichdi
சரல்	saral
தொலைத்த	lost
ஃபர்ட்டடோ	furtado
புகழோடு	glorified
டவுன்சென்ட்	townsend
#சில	#some
நமீதா	namitha
ஷார்	sharm
கொன்ராடு	konrad
மென்டோசா	mendoza
அய்மே	aimé
வெண்ட்வொர்த்	wentworth
வெறியாட்டம்	rampage
பங்களாவில்	bungalow
மனிதாபிமானமற்ற	inhumane
மனிதாபிமானமற்ற	inhuman
பாஜ்பாய்	bajpai
#கடவுள்	#god
துரோணாச்சார்யா	dronacharya
இணைகிறார்	joins
எலீன்	eileen
சஃபர்	safar
விவால்டி	vivaldi
ஹாங்க்	hank
செஸ்னா	cessna
பரிட்சித்து	parikshit
ப்ராண்ட்	brand
அசோலா	azolla
ஆல்பர்டோ	alberto
அரவாக்கன்	arawakan
பேக்கேஜிங்	packaging
லியாம்	liam
கொள்ளையர்களை	pirates
இடைக்கோடுகள்	hyphens
பழசி	pazhassi
பிங்கி	pinky
தெரெசுக்கோவா	tereshkova
பிரிட்டனி	brittany
படான்	badon
லெட்டி	letty
மகின்டனாவ்	maguindanao
கைட்ஸ்	kites
லோண்டா	londa
புதிர்களின்	puzzles
கேசினோ	casino
டியூரான்டு	durand
வலைப்பதிவாளர்கள்	bloggers
அட்டர்சுபீல்டு	huddersfield
நீராய்வியல்	hydrography
கைர்	khair
துடிக்கிறது	beats
விசியோ	visio
முறுக்கி	twisted
ஹிஸ்புல்	hizbul
கார்லேண்ட்	garland
பல்பு	bulb
கோட்டெரில்	cotterill
மாரோ	maro
வைஃபை	wifi
சூட்ஸ்	suites
டென்டன்	denton
கயவன்	moron
மலக்குகள்	angels
ரீமேக்	remake
வெறுப்பைத்	aversion
ஃபு	fu
கிராஞ்சி	kranji
பாபெல்	babel
படுகோனே	padukone
நாஸ்டாக்	nasdaq
மாடிக்கு	upstairs
ஹனா	hana
குவிண்டால்	quintal
டிராகோ	drago
ஆடம்சன்	adamson
கோசா	kosa
திங்கள்கிழமை	monday
அனகாரிக	anagarika
லெடோ	leto
பாரியா	baria
கொருனா	koruna
நஸ்ர்	nasr
யோக்	yog
தலைமுறைகளை	generations
சாஜி	saji
அசிங்கமான	ugly
தூரோ	thoreau
தவ்லத்	dawlat
தார்த்தியா	tortilla
சிரிப்பும்	laughter
மெத்தாக்சி	methoxy
கிரியெர்சன்	grierson
வேர்கடலை	peanuts
அசைலேற்றம்	acylation
தோஹா	doha
ஈராண்டுத்	biennial
ப்ளஷ்	flush
விண்டேஜ்	vintage
அட்டகாசமான	splendid
இளவரசிகள்	princesses
திரியோனின்	threonine
தவணையில்	installment
கழிப்பு	excretion
இடையூறும்	interruption
கெனெசெட்	knesset
ஹார்மோனிகா	harmonica
தட்டுவதன்	tapping
முராத்	murad
உணவளித்தல்	feeding
சுக்சுவாங்	zugzwang
மொனாஷ்	monash
அர்கா	arka
டவுனிங்	downing
புன்முறுவல்	grin
கிரனோபிள்	grenoble
எஸ்கார்ட்	escort
ரைபோஸ்	ribose
பிரைட்டன்	brighton
பெர்சியஸ்	perseus
அடடா	aww
அடடா	damn
எறும்புகளை	ants
டெராகெர்ட்சு	terahertz
மஹ்ஃபூஸ்	mahfouz
அன்பர்களே	dears
#பல	#many
கோத்ரேஜ்	godrej
கிரயேம்	graeme
ஷ்ரெக்	shrek
எல்சி	elsie
இழந்ததை	lost
ஜாடிகள்	jars
தேய்ந்த	worn
மோத்தி	moti
ஈபிடிப்பான்	flycatcher
பசவர்	basava
கூர்ஸ்க்	kursk
லீக்கி	leakey
ஹெஸ்டியா	hestia
வோல்கோகிராட்	volgograd
முயாய்	muay
ஐன்லைன்	heinlein
ஐங்	aing
கம்பனெல்லா	campanella
கர்மான்	karman
பைரோ	pyro
கேட்டிருக்கிறேன்	heard
#தங்க	#golden
சாகோஸ்	chagos
பேனர்கள்	banners
ஜெர்மைன்	germain
ஃபாக்	fagg
எல்சா	elsa
மொகிந்தர்	mohinder
ஸ்டோவ்	stowe
பார்க்லி	barkley
லேக்கர்	lacquer
காக்டெயில்	cocktail
ஃபோ	pho
கிளிஃபோர்ட்	clifford
இமைக்கும்	blink
மோட்டோ	moto
தொக்கி	beautify
பிட்மேப்	bitmap
#இரண்டு	#two
வெர்ட்சு	wurtz
#அதே	#same
ருஸ்கா	ruska
வெறுக்கிறார்	hates
சலசலப்பு	buzzing
தீசிசர்	thesiger
பளிங்குப்	marbled
பிஸ்வாஸ்	biswas
ஓகோ	ooooh
ஜெப்ரீஸ்	jefferies
லைல்	lyle
நிவ்	niv
பதிலாட்புலம்	regency
சிரமமின்றி	relish
சுவாமிஜி	swamiji
பிளான்செட்	blanchett
சியாச்சென்	siachen
ஸ்பென்ஸ்	spence
பகிர்வில்	share
விமர்சிக்க	criticize
தேர்வாளர்	chooser
தேர்வாளர்	selector
இராமப்பூர்	rampur
அயுத்தயா	ayutthaya
மனிதா	man
மைலி	miley
இடித்துக்	smacked
அடைக்கிறது	choking
பயணிக்கிறார்	traveling
சோர்வாக	tired
வாங்கினேன்	bought
டோகாமாக்	tokamak
பூபேன்	bhupen
நாகரீகமான	fashionable
தனிமையாக	lonely
விபி	vp
புடோங்	pudong
இடியட்	idiot
கலிசியா	galicia
ஈவிலின்	evelyn
கொண்டாடுகிறார்	celebrating
டிலைட்	delight
கோஸ்லிங்	gosling
மினுக்கும்	blinking
ஜம்	jam
செய்தியிடல்	messaging
டோவாகர்	dowager
ரோமானியன்	romanian
பெக்கா	becca
கட்டுரை}}	article}}
டவுட்	wildwood
கமிலா	kamila
கமிலா	camila
மங்கு	fades
மேக்மேக்	makemake
பெல்ஃபாஸ்ட்	belfast
மாண்டெக்	montauk
கெய்சென்	kaizen
டாக்கர்	docker
கிரான்மர்	cranmer
மெங்கிஸ்து	mengistu
வெறுப்பாக	annoyed
நோவல்	novell
சினோ	chino
எட்கர்டன்	edgerton
உயர்த்துகிறார்	elevate
கிட்ஸ்ச்	kitsch
கலவரக்காரர்கள்	rioters
மனங்கள்	minds
வாஹ்	wah
ஆசம்	azam
ஹூல்	hoole
பேலட்	pallet
மீளுருவாக்க	regenerate
காத்லீன்	kathleen
எகர்டன்	egerton
வாங்குதல்கள்	purchases
புக்கானன்	buchanan
இன்டியானா	indiana
நைகிஸ்ட்	nyquist
வெல்டிங்	welding
அரபியர்கள்	arabs
சமர்செட்	somerset
டெராபைட்டு	terabyte
பிஜே	bj
ட்ரங்க்	trunk
பூந்தி	bundi
இப்திகார்	iftikhar
ஜம்னாலால்	jamnalal
சிஷினோ	chișinău
ஹாசென்	hausen
சுயவிவரத்தை	profile
மஞ்ச்ரேக்கர்	manjrekar
ஹோவ்	hove
இக்னேசியஸ்	ignatius
கீர்யோசு	kyrgios
அஞ்சா	brave
#காலம்	#time
சேமியா	noodles
#தன்	#his
காட்பரி	cadbury
கைப்பை	handbag
உள்ளுணர்வை	intuition
ரத்துசெய்யப்பட்டது	canceled
ரத்துசெய்யப்பட்டது	cancelled
அட்செட்	adshead
துண்டைக்	sliced
அமைப்பினையும்	probiotics
அர்பத்	arpad
பேட்ஜ்	badge
இருக்கும்,	be,
தேவதையே	angel
ஹாண்டெல்	handel
காஞ்சனபுரி	kanchanaburi
தொல்பாணியியம்	primitivism
பனவாசி	banavasi
கிறகுஜேவாச்	kragujevac
பும்பா	pumbaa
குயிம்பி	quimby
முட்டியை	knocks
கிரிம்ஸ்டன்	grimston
பெரிஸ்டால்டிக்	peristaltic
உதயணர்	udayana
பையான்	bion
பிக்டே	pictet
ஸ்லீப்பர்	sleeper
பிட்மன்	pitman
மறந்துவிட்டேன்	forgot
நொகுச்சி	noguchi
மகரந்தத்தூளியல்	palynology
போட்ஸ்வானா	botswana
பார்க்கிங்	parking
டர்க்	turk
தொழிற்சங்கத்தில்	baptized
பாசுபைடு	phosphide
மசாலாக்கள்	spices
லெய்ன்	iain
பெம்	behm
திர்ரேனியக்	tyrrhenian
ஃப்ரீஸ்டைல்	freestyle
நடாலீ	natalie
நியூட்	newt
அனுபவிப்பது	enjoyment
எழுகோணம்	heptagon
பெட்சி	betsy
மேஷம்	aries
கிளியா	clea
தூரங்களை	distances
பென்சிமா	benzema
இசுட்டால்	staal
பெய்லிஸ்	bayliss
சூசைடு	deadshot
கிவா	kiva
பூரிம்	purim
ஊதப்படும்	blown
சுழலுமாறு	presumably
பர்கோய்ன்	burgoyne
ஸ்லோவாக்	slovak
புருதோம்	prudhomme
பயனர்பெயர்கள்	usernames
ஜம்சீட்	jamshed
அபீர்	abir
கட்டுப்படுத்து	control
ஒகாம்போ	ocampo
அழித்ததாக	trashed
மால்மெடி	malmedy
நர்சிங்	nursing
உஜோங்	pulau
அடேலா	adela
வுட்ரோஃப்	woodroffe
கட்சி}}	party}}
வெறுப்புடன்	ew
காஃப்	qaf
பங்	muang
பங்	bung
மாமியா	mamiya
பெட்ரோபிராசு	petrobras
பிரமை	obsession
கூப்பன்கள்	coupons
செருகல்	plugin
பதிவேற்றவும்	upload
முட்டாள்தனமாக	stupid
துண்டி	disconnect
கியூலியோ	giulio
பார்கா	barca
கிளெமன்ட்ஸ்	clements
கிறாஸ்	gras
மிங்க்	mink
பித்துப்பிடித்த	insanity
அம்ப்ரோஸ்	ambrose
திவெர்	tver
அடைவுகள்	folders
அடைவுகள்	directories
அடைவுகள்	fired
கிளாடியோ	claudio
ஜனாதிபதிகள்	presidents
மாவென்	maven
கோயபெல்ஸ்	goebbels
புக்சா	buxa
மினூ	minoo
ஜேனிஸ்	janice
நீட்டு	neetu
மேஸ்	maze
பிளாட்டர்	blatter
#முதலில்	#first
மாபியா	mafia
புரிந்துகொண்டேன்	understood
அமேடியோ	amedeo
அப்பழுக்கற்ற	impeccable
யர்ரா	yarra
டின்னர்	dinner
குடும்பத்தாரையும்	household
சாதுக்களின்	sadhus
ஷமீர்	shamir
ஃபெரர்	ferrer
தடுப்பூசிகளை	vaccinations
ஸ்டீவி	stevie
சுங்ஜூ	chungju
பப்மெட்	pubmed
புருவங்கள்	eyebrows
ஜீத்	jeet
விறுவிறுப்பு	agressive
தீர்க்கதரிசன	prophetic
தூயவன்	immaculate
தலைசுற்றல்	dizzy
சத்ரான்	zadran
பெறுநர்கள்	recipients
சொப்பின்	chopin
செயல்கூறு	functions
